phone, lat(degrees), lon(degrees)
13,-62.0813192661872,-58.3411749186193
12,-62.08145450758829,-58.34111578773921
11,-62.08158947051139,-58.341085363660014
10,-62.08149162881496,-58.340991059541416
9,-62.08141134529403,-58.34093773771643
8,-62.08130361999301,-58.3409368151856
7,-62.081243169332204,-58.34099541649763
6,-62.08110474379388,-58.34107738236521
5,-62.08107371676797,-58.34119395347034
4,-62.08114449890042,-58.34130123116003
3,-62.081491044353726,-58.34135672887009
2,-62.08161164889553,-58.34127014767269
1,-62.081630766540954,-58.34115036867158
