phone, lat(degrees), lon(degrees)
1, -1.2018629051173761, -48.50642892738291
2, -1.201848243941277, -48.50644759995284
3, -1.201837791472329, -48.50646922976006
4, -1.2018302854864569, -48.506495620323776
5, -1.2018266779446278, -48.506524398987565
6, -1.2018262254510503, -48.50655270874571
7, -1.2018401563075696, -48.50657201196888
8, -1.2018535309111802, -48.50659810863342
9, -1.2018726023488353, -48.506615053699555
10, -1.2019051492547352, -48.50663688752441
11, -1.2019329888162655, -48.50661380054925
12, -1.2019593897756233, -48.50659186855304
13, -1.2019840468348233, -48.50657399598749
14, -1.201992513574722, -48.50655008541996
15, -1.2020040888119687, -48.50651488632448
16, -1.2020229605761938, -48.50649557596705
17, -1.2020356227653328, -48.506474898382564
18, -1.2020354542452782, -48.50643581832787
19, -1.2020173381492152, -48.506414052554646
20, -1.2019939821395569, -48.50639618053231
21, -1.201969409741139, -48.506382361642885
22, -1.2019436212763666, -48.50638056815512
23, -1.201910543637, -48.50638680394888
24, -1.2018937877226878, -48.50640143577439
